funnel_dimension,dimension_value,total,sev_2_plus,sev_3_plus,critical,pct_sev_2_plus,pct_sev_3_plus,critical_rate_pct,cohort_period,next_period_critical_rate,context_rank
by_context,road_closure,326233,326136,192764,134938,99.97,59.09,41.36,,,1
by_context,vehicle_type,12697,12567,4553,1905,98.98,35.86,15.00,,,2
by_context,multi_vehicle,27699,27585,5487,1198,99.59,19.81,4.33,,,3
by_context,road_work,9456,9442,216,192,99.85,2.28,2.03,,,4
by_context,injury_reported,9507,9220,2976,189,96.98,31.30,1.99,,,5
by_context,disabled_vehicle,8043,8029,558,145,99.83,6.94,1.80,,,6
by_context,location_highway_exit,138706,137515,38375,1985,99.14,27.67,1.43,,,7
by_context,pedestrian,2926,2909,72,28,99.42,2.46,0.96,,,8
by_context,other,3427431,3398359,445429,27067,99.15,13.00,0.79,,,9
by_context,location_junction,177619,176267,25317,1087,99.24,14.25,0.61,,,10
by_context,weather_related,326,324,43,2,99.39,13.19,0.61,,,10
by_context,lane_closure,1132598,1126714,544595,6732,99.48,48.08,0.59,,,12
by_context,location_signalized_intersection,419515,409628,25817,1370,97.64,6.15,0.33,,,13
by_context,location_crossing,625251,608269,22491,1574,97.28,3.60,0.25,,,14
by_context,debris_hazard,7010,7009,136,12,99.99,1.94,0.17,,,15
by_context,shoulder_blocked,63120,63120,32,28,100.00,0.05,0.04,,,16
by_context,slow_traffic,663419,663412,6142,86,100.00,0.93,0.01,,,17
by_light,Full_Night,1188379,1183852,195084,48121,99.62,16.42,4.05,,,1
by_light,Dawn_Dusk_Transition,945168,937864,179748,23012,99.23,19.02,2.43,,,2
by_light,Full_Day,4918009,4864789,940171,107405,98.92,19.12,2.18,,,3
monthly_cohort,2016-01,7,,,7,,,100.00,2016-01-01,13.62,
monthly_cohort,2016-02,903,,,123,,,13.62,2016-02-01,5.42,
monthly_cohort,2016-03,5298,,,287,,,5.42,2016-03-01,3.13,
monthly_cohort,2016-04,14904,,,466,,,3.13,2016-04-01,3.08,
monthly_cohort,2016-05,14626,,,450,,,3.08,2016-05-01,3.37,
monthly_cohort,2016-06,25492,,,859,,,3.37,2016-06-01,3.31,
monthly_cohort,2016-07,37691,,,1246,,,3.31,2016-07-01,3.13,
monthly_cohort,2016-08,46148,,,1444,,,3.13,2016-08-01,2.81,
monthly_cohort,2016-09,43768,,,1232,,,2.81,2016-09-01,3.05,
monthly_cohort,2016-10,43892,,,1340,,,3.05,2016-10-01,3.22,
monthly_cohort,2016-11,48736,,,1571,,,3.22,2016-11-01,3.83,
monthly_cohort,2016-12,47095,,,1802,,,3.83,2016-12-01,3.62,
monthly_cohort,2017-01,44630,,,1616,,,3.62,2017-01-01,3.42,
monthly_cohort,2017-02,42260,,,1444,,,3.42,2017-02-01,3.66,
monthly_cohort,2017-03,48649,,,1780,,,3.66,2017-03-01,3.76,
monthly_cohort,2017-04,41354,,,1556,,,3.76,2017-04-01,4.81,
monthly_cohort,2017-05,35655,,,1716,,,4.81,2017-05-01,4.26,
monthly_cohort,2017-06,38915,,,1658,,,4.26,2017-06-01,4.25,
monthly_cohort,2017-07,34834,,,1480,,,4.25,2017-07-01,2.32,
monthly_cohort,2017-08,64248,,,1490,,,2.32,2017-08-01,2.40,
monthly_cohort,2017-09,59250,,,1423,,,2.40,2017-09-01,2.56,
monthly_cohort,2017-10,58589,,,1502,,,2.56,2017-10-01,2.69,
monthly_cohort,2017-11,52748,,,1419,,,2.69,2017-11-01,2.85,
monthly_cohort,2017-12,55284,,,1575,,,2.85,2017-12-01,3.04,
monthly_cohort,2018-01,59658,,,1812,,,3.04,2018-01-01,2.86,
monthly_cohort,2018-02,58640,,,1680,,,2.86,2018-02-01,2.69,
monthly_cohort,2018-03,63555,,,1709,,,2.69,2018-03-01,2.44,
monthly_cohort,2018-04,61844,,,1510,,,2.44,2018-04-01,2.54,
monthly_cohort,2018-05,63393,,,1612,,,2.54,2018-05-01,2.62,
monthly_cohort,2018-06,52767,,,1380,,,2.62,2018-06-01,2.79,
monthly_cohort,2018-07,53046,,,1479,,,2.79,2018-07-01,1.99,
