geo_level,city,state,accident_count,avg_severity,avg_duration_mins,critical_count,critical_rate_pct,volume_rank,severity_rank,critical_rate_rank,rank_divergence
state,,CA,1557414,2.148,112.42,10922,0.70,1,36,45,35
state,,FL,829646,2.135,130.26,11864,1.43,2,38,40,36
state,,TX,536436,2.220,95.18,6449,1.20,3,29,42,26
state,,SC,348587,2.104,84.37,2863,0.82,4,45,44,41
state,,NY,325862,2.249,116.66,9688,2.97,5,25,30,20
state,,NC,308885,2.127,108.92,9131,2.96,6,40,31,34
state,,PA,269485,2.205,104.39,14381,5.34,7,31,17,24
state,,VA,267992,2.266,103.96,15753,5.88,8,22,12,14
state,,MN,181426,2.158,103.16,789,0.43,9,35,49,26
state,,OR,165075,2.108,177.47,5275,3.20,10,43,29,33
state,,IL,161714,2.383,101.88,3965,2.45,11,11,33,0
state,,TN,158464,2.189,102.84,3134,1.98,12,32,35,20
state,,MI,154742,2.330,88.56,7085,4.58,13,18,20,5
state,,AZ,153552,2.105,99.38,4307,2.80,14,44,32,30
state,,GA,151180,2.494,95.28,10916,7.22,15,1,11,14
state,,LA,141770,2.123,90.11,1768,1.25,16,41,41,25
state,,NJ,124290,2.226,117.33,5097,4.10,17,28,22,11
state,,OH,110295,2.346,93.59,5641,5.11,18,14,18,4
state,,MD,103328,2.300,111.27,8092,7.83,19,19,9,0
state,,WA,97311,2.337,133.11,3572,3.67,20,15,24,5
state,,AL,94132,2.236,86.41,1679,1.78,21,27,37,6
state,,CO,83380,2.435,90.51,6553,7.86,22,5,8,17
state,,UT,83048,2.183,100.73,1338,1.61,23,33,38,10
state,,OK,80157,2.075,65.33,395,0.49,24,46,48,22
state,,MO,70451,2.398,104.00,2373,3.37,25,9,27,16
state,,CT,67488,2.336,129.09,3840,5.69,26,16,13,10
state,,IN,61890,2.394,104.29,5077,8.20,27,10,7,17
state,,MA,55937,2.287,65.81,498,0.89,28,20,43,8
state,,WI,32712,2.461,112.54,3058,9.35,29,2,5,27
state,,KY,29841,2.445,84.39,1081,3.62,30,4,25,26
state,,MT,26525,2.035,122.11,399,1.50,31,47,39,16
state,,NE,26087,2.175,63.10,474,1.82,32,34,36,2
state,,IA,24211,2.410,100.57,1795,7.41,33,7,10,26
state,,AR,20938,2.258,103.99,2421,11.56,34,23,3,11
state,,NV,19274,2.215,126.10,624,3.24,35,30,28,5
state,,KS,17804,2.282,103.17,609,3.42,36,21,26,15
state,,DC,17225,2.132,117.90,715,4.15,37,39,21,2
state,,RI,15368,2.456,82.72,107,0.70,38,3,45,35
state,,MS,13924,2.335,102.21,760,5.46,39,17,14,22
state,,DE,13582,2.250,89.75,1471,10.83,40,24,4,16
state,,WV,12577,2.139,225.80,674,5.36,41,37,16,4
state,,ID,9865,2.118,149.51,488,4.95,42,42,19,0
state,,NM,9508,2.369,102.10,516,5.43,43,12,15,31
state,,NH,8976,2.248,115.63,219,2.44,44,26,34,18
state,,WY,2964,2.359,131.55,455,15.35,45,13,2,32
state,,ND,2782,2.015,103.93,14,0.50,46,48,47,2
state,,ME,2444,2.205,141.87,98,4.01,47,31,23,16
state,,VT,777,2.426,128.59,71,9.14,48,6,6,42
state,,SD,235,2.404,207.33,44,18.72,49,8,1,41
