"granularity","period_date","accident_count","avg_severity","prev_period_count","mom_pct_change","running_total","severity_rank","volume_rank"
"hourly","2000-01-01 00:00:00",101044,2.197,NULL,NULL,NULL,17,21
"hourly","2000-01-01 01:00:00",87333,2.167,NULL,NULL,NULL,24,22
"hourly","2000-01-01 02:00:00",83392,2.182,NULL,NULL,NULL,21,23
"hourly","2000-01-01 03:00:00",74789,2.202,NULL,NULL,NULL,13,24
"hourly","2000-01-01 04:00:00",140881,2.214,NULL,NULL,NULL,7,19
"hourly","2000-01-01 05:00:00",199098,2.198,NULL,NULL,NULL,15,16
"hourly","2000-01-01 06:00:00",353429,2.192,NULL,NULL,NULL,19,9
"hourly","2000-01-01 07:00:00",512980,2.176,NULL,NULL,NULL,23,3
"hourly","2000-01-01 08:00:00",510654,2.179,NULL,NULL,NULL,22,4
"hourly","2000-01-01 09:00:00",324878,2.216,NULL,NULL,NULL,6,12
"hourly","2000-01-01 10:00:00",311908,2.211,NULL,NULL,NULL,8,13
"hourly","2000-01-01 11:00:00",327391,2.208,NULL,NULL,NULL,10,11
"hourly","2000-01-01 12:00:00",329561,2.211,NULL,NULL,NULL,8,10
"hourly","2000-01-01 13:00:00",370564,2.203,NULL,NULL,NULL,12,8
"hourly","2000-01-01 14:00:00",421991,2.196,NULL,NULL,NULL,18,6
"hourly","2000-01-01 15:00:00",496692,2.198,NULL,NULL,NULL,15,5
"hourly","2000-01-01 16:00:00",549848,2.201,NULL,NULL,NULL,14,1
"hourly","2000-01-01 17:00:00",541031,2.206,NULL,NULL,NULL,11,2
"hourly","2000-01-01 18:00:00",401492,2.221,NULL,NULL,NULL,5,7
"hourly","2000-01-01 19:00:00",269843,2.229,NULL,NULL,NULL,2,14
"hourly","2000-01-01 20:00:00",203356,2.236,NULL,NULL,NULL,1,15
"hourly","2000-01-01 21:00:00",173480,2.228,NULL,NULL,NULL,3,17
"hourly","2000-01-01 22:00:00",151175,2.225,NULL,NULL,NULL,4,18
"hourly","2000-01-01 23:00:00",114746,2.186,NULL,NULL,NULL,20,20
"monthly","2016-01-01 00:00:00",7,4.000,NULL,NULL,7,NULL,NULL
"monthly","2016-02-01 00:00:00",903,2.539,7,12800.00,910,NULL,NULL
"monthly","2016-03-01 00:00:00",5298,2.427,903,486.71,6208,NULL,NULL
"monthly","2016-04-01 00:00:00",14904,2.385,5298,181.31,21112,NULL,NULL
"monthly","2016-05-01 00:00:00",14626,2.367,14904,-1.87,35738,NULL,NULL
"monthly","2016-06-01 00:00:00",25492,2.395,14626,74.29,61230,NULL,NULL
"monthly","2016-07-01 00:00:00",37691,2.378,25492,47.85,98921,NULL,NULL
"monthly","2016-08-01 00:00:00",46148,2.366,37691,22.44,145069,NULL,NULL
"monthly","2016-09-01 00:00:00",43768,2.360,46148,-5.16,188837,NULL,NULL
"monthly","2016-10-01 00:00:00",43892,2.350,43768,0.28,232729,NULL,NULL
"monthly","2016-11-01 00:00:00",48736,2.363,43892,11.04,281465,NULL,NULL
"monthly","2016-12-01 00:00:00",47095,2.375,48736,-3.37,328560,NULL,NULL
"monthly","2017-01-01 00:00:00",44630,2.374,47095,-5.23,373190,NULL,NULL
"monthly","2017-02-01 00:00:00",42260,2.373,44630,-5.31,415450,NULL,NULL
"monthly","2017-03-01 00:00:00",48649,2.374,42260,15.12,464099,NULL,NULL
"monthly","2017-04-01 00:00:00",41354,2.388,48649,-15.00,505453,NULL,NULL
"monthly","2017-05-01 00:00:00",35655,2.395,41354,-13.78,541108,NULL,NULL
"monthly","2017-06-01 00:00:00",38915,2.422,35655,9.14,580023,NULL,NULL
"monthly","2017-07-01 00:00:00",34834,2.430,38915,-10.49,614857,NULL,NULL
"monthly","2017-08-01 00:00:00",64248,2.360,34834,84.44,679105,NULL,NULL
